old_code,new_code
090401000AACUCU,0913226D0AAAAAA
090401000AACVCV,0913205L0AAACAC
090401000AACWCW,0913224A0AAABAB
090401000AACXCX,0913201C0AAACAC
090401000AACYCY,0913206B0AAABAB
090401000AACZCZ,0913204C0AAABAB
090401000AADADA,0913205F0AAADAD
090401000AADBDB,0913206F0AAAAAA
090401000AADCDC,0913181Q0AAAAAA
090401000AADDDD,0913181M0AAAAAA
090401000AADEDE,0913449A0AAAAAA
090401000AADFDF,0913181N0AAAAAA
090401000AADGDG,0913181P0AAAAAA
090401000AADHDH,0913061C0AAACAC
090401000AADIDI,0913205R0AAAAAA
090401000BBAAA0,090401000BBAABA
090401000BBADAL,0913161A0BGAAAG
090401000BBAEA0,0913391A0BBAAAA
090401000BBAHA0,0913207A0BBAAAA
090401000BBAPA0,0913142B0BCAAAB
090401000BBBBA0,0913441A0BBAAAA
090401000BBBDA0,0913242A0BBAAAA
090401000BBBLAR,0913181I0BBAAAA
090401000BBBPA0,0913109A0BBAAAA
090401000BBBQA0,0913261J0BEAAAE
090401000BBBSA0,0913355A0BBAAAA
090401000BBBUA0,0913201D0BBAAAA
090401000BBBWA0,0913205G0BBAAAA
090401000BBCCA0,0913446A0BBAAAA
090401000BBCGA0,0913141E0BBAAAA
090401000BBCJAN,0913142B0BBAAAA
090401000BBCLA7,0913391B0BBAAAA
090401000BBCPA0,0913204D0BBAAAA
090401000BBCQA0,0913203A0BBAAAA
090401000BBDBAR,0913181J0BBAAAB
090401000BBDTA0,0913351A0BCAAAC
090401000BBESA0,0913445A0BDAAAD
090401000BBFGA0,0913204E0BBAAAA
090401000BBFIA0,0913206C0BBAAAA
090401000BBFLA6,0913353A0BBAAAA
090401000BBFMA0,0913111A0BBAAAA
090401000BBFUA0,0913142B0BDAAAC
090401000BBFZA0,0913261J0BEABAF
090401000BBGDA0,0913261J0BBAAAA
090401000BBGFA0,0913011M0BEABAA
090401000BBGIA0,0913481A0BBAAAA
090401000BBGSA0,0913431B0BBAAAA
090401000BBGWBA,0913142C0BBABAB
090401000BBGZBD,0913353A0BCAAAB
090401000BBHGA0,0913442A0BBAAAA
090401000BBHHA0,0913445B0BCAAAB
090401000BBHVBK,0913445A0BBAAAA
090401000BBHXA0,0913203C0BBAAAA
090401000BBHZA0,0913446C0BBAAAA
090401000BBIAA0,0913202A0BBAAAA
090401000BBIEA0,0913142B0BBABAA
090401000BBIIA0,0913205I0BBAAAA
090401000BBJCA0,0913081D0BBAAAA
090401000BBJDA0,0913081C0BBAAAA
090401000BBJFCH,0913361A0BBADAC
090401000BBJGA0,0913142C0BBACAB
090401000BBJGBA,0913142C0BBACAB
090401000BBJJA0,0913284A0BBAAAA
090401000BBJWA0,0913501A0BDAAAE
090401000BBJYA0,0913301A0BBAAAA
090401000BBJZA0,0913301A0BBACAA
090401000BBKAA0,0913301A0BBABAA
090401000BBKGA0,0913511A0BDAAAC
090401000BBKIA0,0913291A0BBAAAA
090401000BBKNA0,0110010A0BBAAAA
090401000BBKXA0,0913205D0BBABAA
090401000BBKYA0,0913205D0BBAAAA
090401000BBLAA0,0913205P0BBAAAA
090401000BBLCA0,0913205D0BBADAA
090401000BBLDCH,0913361A0BBAEAC
090401000BBLGA0,0913302A0BBAAAA
090401000BBLIA0,0913302A0BBABAA
090401000BBLJA0,0913302A0BBACAA
090401000BBLKA0,0913142C0BBAAAB
090401000BBLKBA,0913142C0BBAAAB
090401000BBLMA0,0913442A0BCAAAB
090401000BBLNA0,0913181L0BBAAAA
090401000BBLPA0,0913351A0BBABAB
090401000BBLQA0,0913204B0BBAAAA
090401000BBLSA0,0913201B0BBAAAA
090401000BBLTA0,0913205F0BBAFAB
090401000BBLUA0,0913351A0BBAAAA
090401000BBLVA0,0913205N0BEAAAB
090401000BBLZA0,0913205D0BBACAA
090401000BBMAA0,0913302A0BBADAA
090401000BBMBA0,0913111B0BBAAAA
090401000BBMCA0,090401000BBXUDA
090401000BBMDA0,090401000BBXSDA
090401000BBMEA0,090401000BBXTDA
090401000BBMGA0,0913205M0BBAGAC
090401000BBMNA0,0913261D0BCAAAA
090401000BBMQA0,0913206A0BBAAAA
090401000BBMSA0,0913284B0BBAAAA
090401000BBMUA0,0913201C0BBAAAA
090401000BBMWA0,0913205N0BBAHAF
090401000BBMYA0,0913205K0BCABAC
090401000BBMZA0,0913011M0BEAAAA
090401000BBNAA0,0913361A0BBAAAA
090401000BBNBA0,0913361A0BBABAA
090401000BBNCA0,0913572A0BBAAAA
090401000BBNDA0,0913204G0BBAAAA
090401000BBNFA0,0913206E0BBAAAA
090401000BBNGA0,0913181L0BBABAA
090401000BBNIBR,0913213A0BEAAAD
090401000BBNJBS,0913213A0BFAAAE
090401000BBNMA0,0913107A0BEAAAD
090401000BBNPA0,0913201F0BBAAAA
090401000BBNQA0,0913107A0BDAAAB
090401000BBNRA0,0913221C0BBAAAA
090401000BBNSA0,0913226C0BBAAAA
090401000BBNTA0,0913192A0BBABAA
090401000BBNUA0,0913212A0BBAAAA
090401000BBNZA0,0913141B0BCABAB
090401000BBPAA0,0913227B0BBACAC
090401000BBPBA0,0913237A0BBAAAA
090401000BBPDA0,0913236A0BBAAAA
090401000BBPEA0,0913235A0BBAAAA
090401000BBPGA0,0913238A0BBAAAA
090401000BBPHA0,0913232A0BBAAAA
090401000BBPIA0,0913233A0BBAAAA
090401000BBPJA0,0913234A0BBAAAA
090401000BBPKA0,0913231A0BBAAAA
090401000BBPLA0,0913701A0BBAAAA
090401000BBPMA0,0913447A0BBAAAA
090401000BBPNA0,0913571A0BBAAAA
090401000BBPQA0,0913212A0BCAAAB
090401000BBPRA0,0913261J0BCAAAB
090401000BBPTA0,0913225C0BBAAAA
090401000BBPUBT,0908010AUBBAAAA
090401000BBPVA0,0913211B0BBAAAA
090401000BBPWA0,0913211B0BBABAB
090401000BBPXA0,0913211B0BBACAC
090401000BBPYA0,0913211B0BBADAD
090401000BBPZA0,0913227C0BBAAAA
090401000BBQBA0,0913461K0BCAAAB
090401000BBQCA0,0913205F0BBAEAB
090401000BBQDA0,0913226A0BBAAAA
090401000BBQFA0,0913521A0BBACAA
090401000BBQGA0,0913521A0BBAAAA
090401000BBQHA0,0913521A0BBABAA
090401000BBQIA0,0913521B0BBAAAA
090401000BBQJA0,0913181G0BBAAAA
090401000BBQKA0,0913226B0BBAHAC
090401000BBQLA0,0913226B0BBAIAC
090401000BBQMA0,0913226B0BBAJAC
090401000BBQNA0,0913226C0BBABAB
090401000BBQPA0,0913222B0BBABAB
090401000BBQQA0,0913225C0BBABAB
090401000BBQRA0,0913227B0BBABAB
090401000BBQSA0,0913221A0BBAAAA
090401000BBQUA0,0913205F0BBAAAA
090401000BBQVA0,0913205F0BBABAA
090401000BBQWA0,0913205F0BBACAA
090401000BBQXA0,0913205F0BBADAA
090401000BBQYA0,0913201C0BBABAB
090401000BBQZA0,0913206B0BBAAAA
090401000BBRAA0,0913204C0BBAAAA
090401000BBRCA0,0913251A0BBAAAA
090401000BBRDA0,0913291A0BCAAAB
090401000BBRGA0,0913204H0BBAAAA
090401000BBRHA0,0913201G0BBAAAA
090401000BBRIA0,0913206G0BBAAAA
090401000BBRJA0,0913141B0BCAAAB
090401000BBRLA0,0913205K0BCAAAA
090401000BBRPA0,0913205N0BBAAAA
090401000BBRRA0,0913201E0BBABAB
090401000BBRSA0,0913201G0BBABAB
090401000BBRTA0,0913204F0BBABAB
090401000BBRUA0,0913204H0BBABAB
090401000BBRVA0,0913206D0BBABAB
090401000BBRWA0,0913206G0BBABAB
090401000BBRXA0,0913141D0BBAAAA
090401000BBRYA0,0913205N0BBABAC
090401000BBRZA0,0913444A0BBAAAA
090401000BBSAA0,0913181K0BBAAAA
090401000BBSBA0,0913181G0BBABAA
090401000BBSCA0,0913431A0BBAAAA
090401000BBSDA0,0913181H0BBAAAA
090401000BBSFA0,0913211A0BBAAAA
090401000BBSGA0,0913209A0BBAAAA
090401000BBSHA0,0913203B0BBAAAA
090401000BBSIA0,0913204A0BBAAAA
090401000BBSJA0,0913207B0BCAAAB
090401000BBSKA0,0913261V0BBAAAA
090401000BBSLA0,0913261V0BBABAA
090401000BBSMA0,0913261V0BBACAA
090401000BBSNA0,0913261V0BBADAA
090401000BBSPA0,0913205M0BBABAB
090401000BBSQA0,0913205N0BBACAE
090401000BBSRA0,0913301A0BBADAB
